drug_name,condition,review,rating,date,useful_count
Ibuprofen,Hypertension,Works well in combination with my other medications.,8,2020-04-22,94
Levothyroxine,Asthma,I have been on this for 3 months now with good results.,7,2020-04-23,155
Lisinopril,Nerve Pain,I experienced some dizziness at first but it went away after a week.,7,2020-04-23,42
Metformin,Inflammation,Works well but I have to be careful about timing with meals.,3,2020-04-23,157
Prednisone,Fluid Retention,My doctor recommended this and I am glad they did. Feeling much better.,2,2020-04-24,73
Omeprazole,Bacterial Infection,Had an allergic reaction. Would not recommend without consulting doctor first.,7,2020-04-24,147
Hydrochlorothiazide,Chest Pain,This medication has been very effective for me with minimal side effects.,6,2020-04-24,44
Lisinopril,Bacterial Infection,The generic version works just as well for me.,10,2020-04-25,2
Amlodipine,Depression,Works well in combination with my other medications.,3,2020-04-25,47
Metformin,Asthma,Great improvement in my condition since starting this drug.,7,2020-04-25,145
Ibuprofen,Fluid Retention,This medication has been very effective for me with minimal side effects.,2,2020-04-26,68
Atorvastatin,Hypothyroidism,The generic version works just as well for me.,5,2020-04-26,126
Amoxicillin,Hypertension,This medication has been very effective for me with minimal side effects.,7,2020-04-26,139
Metformin,Bacterial Infection,I experienced some dizziness at first but it went away after a week.,8,2020-04-27,118
Prednisone,Asthma,Excellent medication with very few side effects in my experience.,1,2020-04-27,55
Ibuprofen,Hypertension,The generic version works just as well for me.,4,2020-04-27,114
Prednisone,Inflammation,This medication has been very effective for me with minimal side effects.,6,2020-04-28,175
Metformin,Type 2 Diabetes,Works well but I have to be careful about timing with meals.,10,2020-04-28,50
Amlodipine,High Cholesterol,The generic version works just as well for me.,8,2020-04-28,46
Omeprazole,Asthma,Works well but I have to be careful about timing with meals.,7,2020-05-01,147
Amlodipine,Bacterial Infection,I experienced some dizziness at first but it went away after a week.,8,2020-05-01,40
Sertraline,GERD,Excellent medication with very few side effects in my experience.,8,2020-05-01,110
Amlodipine,Asthma,Had an allergic reaction. Would not recommend without consulting doctor first.,1,2020-05-02,138
Amlodipine,Depression,This medication has been very effective for me with minimal side effects.,7,2020-05-02,193
Prednisone,Heart Failure,Works well but I have to be careful about timing with meals.,1,2020-05-02,40
Prednisone,Heart Failure,This drug changed my life. My symptoms are almost completely gone.,10,2020-05-03,140
Metoprolol,Hypertension,No noticeable improvement after 6 weeks of use.,10,2020-05-03,56
Acetaminophen,Depression,"Side effects were too severe, had to switch medications.",3,2020-05-03,118
Acetaminophen,High Cholesterol,Excellent medication with very few side effects in my experience.,8,2020-05-04,46
Hydrochlorothiazide,Bacterial Infection,I experienced some dizziness at first but it went away after a week.,3,2020-05-04,146
Lisinopril,Bacterial Infection,The generic version works just as well for me.,4,2020-05-04,89
Levothyroxine,Type 2 Diabetes,Works well but I have to be careful about timing with meals.,10,2020-05-05,109
Metformin,High Cholesterol,Works well in combination with my other medications.,7,2020-05-05,183
Losartan,Nerve Pain,The generic version works just as well for me.,6,2020-05-05,43
Gabapentin,Bacterial Infection,Great improvement in my condition since starting this drug.,9,2020-05-06,164
Omeprazole,Heart Failure,"Side effects were too severe, had to switch medications.",10,2020-05-06,125
Omeprazole,Depression,No noticeable improvement after 6 weeks of use.,10,2020-05-06,95
Metformin,Nerve Pain,No noticeable improvement after 6 weeks of use.,1,2020-05-07,129
Amoxicillin,Fluid Retention,The generic version works just as well for me.,5,2020-05-07,0
Losartan,Pain,I have been on this for 3 months now with good results.,6,2020-05-07,192
Losartan,Bacterial Infection,Works well in combination with my other medications.,1,2020-05-08,43
Metformin,Fluid Retention,This medication has been very effective for me with minimal side effects.,2,2020-05-08,144
Amoxicillin,Bacterial Infection,Great improvement in my condition since starting this drug.,10,2020-05-08,11
Atorvastatin,High Cholesterol,Excellent medication with very few side effects in my experience.,2,2020-05-09,95
Ibuprofen,Bacterial Infection,Works well but I have to be careful about timing with meals.,4,2020-05-09,158
Metformin,GERD,Works well but I have to be careful about timing with meals.,9,2020-05-09,146
Prednisone,Type 2 Diabetes,This drug changed my life. My symptoms are almost completely gone.,4,2020-05-10,44
Prednisone,High Cholesterol,My doctor recommended this and I am glad they did. Feeling much better.,4,2020-05-10,63
Amlodipine,High Cholesterol,This medication has been very effective for me with minimal side effects.,3,2020-05-10,62
Metoprolol,Hypertension,This medication has been very effective for me with minimal side effects.,3,2020-05-11,95
Prednisone,Hypothyroidism,Excellent medication with very few side effects in my experience.,6,2020-05-11,88
Amoxicillin,Type 2 Diabetes,I experienced some dizziness at first but it went away after a week.,10,2020-05-11,186
Amlodipine,Heart Failure,Works well but I have to be careful about timing with meals.,6,2020-05-12,183
Levothyroxine,Asthma,This medication has been very effective for me with minimal side effects.,4,2020-05-12,103
Sertraline,Fluid Retention,Works well in combination with my other medications.,9,2020-05-12,143
Omeprazole,Pain,Excellent medication with very few side effects in my experience.,4,2020-05-13,159
Amlodipine,Inflammation,Excellent medication with very few side effects in my experience.,4,2020-05-13,49
Prednisone,High Cholesterol,Works well but I have to be careful about timing with meals.,4,2020-05-13,100
Prednisone,High Cholesterol,This drug changed my life. My symptoms are almost completely gone.,7,2020-05-14,33
Metformin,Inflammation,Had an allergic reaction. Would not recommend without consulting doctor first.,1,2020-05-14,88
Sertraline,Pain,No noticeable improvement after 6 weeks of use.,9,2020-05-14,165
Amlodipine,Hypertension,Great improvement in my condition since starting this drug.,5,2020-05-15,192
Omeprazole,Hypertension,Great improvement in my condition since starting this drug.,10,2020-05-15,14
Gabapentin,Inflammation,My doctor recommended this and I am glad they did. Feeling much better.,10,2020-05-15,100
Metoprolol,Asthma,Works well in combination with my other medications.,10,2020-05-16,153
Sertraline,High Cholesterol,This medication has been very effective for me with minimal side effects.,2,2020-05-16,36
Amlodipine,Nerve Pain,The generic version works just as well for me.,4,2020-05-16,19
Gabapentin,Nerve Pain,Works well but I have to be careful about timing with meals.,10,2020-05-17,95
Omeprazole,High Cholesterol,I experienced some dizziness at first but it went away after a week.,1,2020-05-17,98
Atorvastatin,Depression,Excellent medication with very few side effects in my experience.,5,2020-05-17,164
Lisinopril,Depression,"Side effects were too severe, had to switch medications.",8,2020-05-18,87
Sertraline,Inflammation,I experienced some dizziness at first but it went away after a week.,10,2020-05-18,33
Atorvastatin,Blood Pressure,I have been on this for 3 months now with good results.,2,2020-05-18,179
Amlodipine,Hypertension,I have been on this for 3 months now with good results.,6,2020-05-19,59
Acetaminophen,Blood Pressure,Great improvement in my condition since starting this drug.,7,2020-05-19,70
Gabapentin,Heart Failure,Great improvement in my condition since starting this drug.,9,2020-05-19,161
Prednisone,Blood Pressure,Works well but I have to be careful about timing with meals.,7,2020-05-20,26
Prednisone,Asthma,Great improvement in my condition since starting this drug.,1,2020-05-20,158
Losartan,Hypertension,I have been on this for 3 months now with good results.,4,2020-05-20,6
Metformin,Depression,This drug changed my life. My symptoms are almost completely gone.,3,2020-05-21,168
Acetaminophen,Asthma,Had an allergic reaction. Would not recommend without consulting doctor first.,5,2020-05-21,80
Amoxicillin,High Cholesterol,Works well but I have to be careful about timing with meals.,1,2020-05-21,48
Atorvastatin,Pain,I experienced some dizziness at first but it went away after a week.,2,2020-05-22,90
Acetaminophen,Chest Pain,Works well in combination with my other medications.,6,2020-05-22,90
Metformin,Heart Failure,I experienced some dizziness at first but it went away after a week.,5,2020-05-22,53
Acetaminophen,Inflammation,Great improvement in my condition since starting this drug.,2,2020-05-23,148
Levothyroxine,Hypertension,Works well but I have to be careful about timing with meals.,4,2020-05-23,170
Amoxicillin,Type 2 Diabetes,Had an allergic reaction. Would not recommend without consulting doctor first.,8,2020-05-23,124
Prednisone,Depression,I have been on this for 3 months now with good results.,3,2020-05-24,66
Gabapentin,Depression,Great improvement in my condition since starting this drug.,6,2020-05-24,177
Acetaminophen,GERD,Works well in combination with my other medications.,3,2020-05-24,39
Lisinopril,Fluid Retention,Had an allergic reaction. Would not recommend without consulting doctor first.,4,2020-05-25,181
Amoxicillin,GERD,Moderate improvement but the cost is quite high.,6,2020-05-25,179
Prednisone,Fluid Retention,Excellent medication with very few side effects in my experience.,2,2020-05-25,151
Atorvastatin,Pain,I had to adjust the dosage a few times but now it works perfectly.,1,2020-05-26,77
Ibuprofen,Fluid Retention,I have been on this for 3 months now with good results.,8,2020-05-26,10
Losartan,Nerve Pain,Moderate improvement but the cost is quite high.,7,2020-05-26,147
Amlodipine,Chest Pain,I had to adjust the dosage a few times but now it works perfectly.,4,2020-05-27,193
Atorvastatin,Depression,This drug changed my life. My symptoms are almost completely gone.,9,2020-05-27,110
Metoprolol,Hypertension,My doctor recommended this and I am glad they did. Feeling much better.,10,2020-05-27,14
Atorvastatin,Heart Failure,I have been on this for 3 months now with good results.,9,2020-05-28,170
Omeprazole,Blood Pressure,Works well but I have to be careful about timing with meals.,1,2020-05-28,133
Metoprolol,Hypothyroidism,Had an allergic reaction. Would not recommend without consulting doctor first.,6,2020-05-28,188
Hydrochlorothiazide,Fluid Retention,"Side effects were too severe, had to switch medications.",9,2020-06-01,43
Ibuprofen,Heart Failure,No noticeable improvement after 6 weeks of use.,7,2020-06-01,181
Ibuprofen,Nerve Pain,Great improvement in my condition since starting this drug.,7,2020-06-01,44
Metformin,Pain,Had an allergic reaction. Would not recommend without consulting doctor first.,5,2020-06-02,101
Gabapentin,High Cholesterol,Moderate improvement but the cost is quite high.,10,2020-06-02,199
Atorvastatin,Heart Failure,Works well but I have to be careful about timing with meals.,4,2020-06-02,199
Levothyroxine,Bacterial Infection,My doctor recommended this and I am glad they did. Feeling much better.,6,2020-06-03,20
Ibuprofen,Depression,The generic version works just as well for me.,3,2020-06-03,142
Atorvastatin,High Cholesterol,Great improvement in my condition since starting this drug.,6,2020-06-03,2
Ibuprofen,Hypertension,Had an allergic reaction. Would not recommend without consulting doctor first.,3,2020-06-04,90
Acetaminophen,Inflammation,Moderate improvement but the cost is quite high.,7,2020-06-04,43
Ibuprofen,Asthma,Works well but I have to be careful about timing with meals.,8,2020-06-04,44
Hydrochlorothiazide,Blood Pressure,"Side effects were too severe, had to switch medications.",10,2020-06-05,194
Omeprazole,Asthma,Great improvement in my condition since starting this drug.,1,2020-06-05,23
Amoxicillin,High Cholesterol,Excellent medication with very few side effects in my experience.,3,2020-06-05,62
Prednisone,GERD,I experienced some dizziness at first but it went away after a week.,5,2020-06-06,145
Sertraline,High Cholesterol,This drug changed my life. My symptoms are almost completely gone.,1,2020-06-06,3
Sertraline,Pain,Moderate improvement but the cost is quite high.,7,2020-06-06,100
Atorvastatin,Bacterial Infection,No noticeable improvement after 6 weeks of use.,8,2020-06-07,10
Atorvastatin,Blood Pressure,The generic version works just as well for me.,1,2020-06-07,67
Prednisone,Bacterial Infection,I had to adjust the dosage a few times but now it works perfectly.,6,2020-06-07,13
Sertraline,Heart Failure,The generic version works just as well for me.,4,2020-06-08,47
Lisinopril,Nerve Pain,Works well in combination with my other medications.,5,2020-06-08,165
Metformin,Type 2 Diabetes,No noticeable improvement after 6 weeks of use.,4,2020-06-08,157
Lisinopril,Type 2 Diabetes,No noticeable improvement after 6 weeks of use.,2,2020-06-09,147
Amlodipine,Chest Pain,My doctor recommended this and I am glad they did. Feeling much better.,4,2020-06-09,137
Sertraline,High Cholesterol,Great improvement in my condition since starting this drug.,3,2020-06-09,76
Amoxicillin,Nerve Pain,I experienced some dizziness at first but it went away after a week.,2,2020-06-10,151
Amlodipine,Blood Pressure,Works well in combination with my other medications.,1,2020-06-10,177
Metformin,Blood Pressure,This medication has been very effective for me with minimal side effects.,9,2020-06-10,36
Gabapentin,Nerve Pain,Moderate improvement but the cost is quite high.,1,2020-06-11,82
Losartan,GERD,The generic version works just as well for me.,2,2020-06-11,175
Acetaminophen,Blood Pressure,Works well in combination with my other medications.,1,2020-06-11,121
Losartan,Bacterial Infection,Great improvement in my condition since starting this drug.,7,2020-06-12,72
Amlodipine,Pain,Had an allergic reaction. Would not recommend without consulting doctor first.,6,2020-06-12,2
Metformin,Depression,My doctor recommended this and I am glad they did. Feeling much better.,4,2020-06-12,118
Atorvastatin,Chest Pain,Works well but I have to be careful about timing with meals.,7,2020-06-13,23
Gabapentin,Bacterial Infection,The generic version works just as well for me.,3,2020-06-13,57
Levothyroxine,Hypertension,"Side effects were too severe, had to switch medications.",4,2020-06-13,105
Lisinopril,Type 2 Diabetes,Moderate improvement but the cost is quite high.,10,2020-06-14,66
Omeprazole,Pain,I experienced some dizziness at first but it went away after a week.,7,2020-06-14,76
Atorvastatin,Chest Pain,No noticeable improvement after 6 weeks of use.,2,2020-06-14,99
Metoprolol,GERD,I had to adjust the dosage a few times but now it works perfectly.,5,2020-06-15,29
Prednisone,Pain,"Side effects were too severe, had to switch medications.",8,2020-06-15,45
Gabapentin,Nerve Pain,Moderate improvement but the cost is quite high.,7,2020-06-15,133
Metoprolol,Nerve Pain,The generic version works just as well for me.,1,2020-06-16,108
Amoxicillin,Pain,"Side effects were too severe, had to switch medications.",5,2020-06-16,154
Omeprazole,High Cholesterol,This drug changed my life. My symptoms are almost completely gone.,1,2020-06-16,71
Prednisone,Blood Pressure,Excellent medication with very few side effects in my experience.,2,2020-06-17,121
Metoprolol,Bacterial Infection,My doctor recommended this and I am glad they did. Feeling much better.,2,2020-06-17,130
Hydrochlorothiazide,Nerve Pain,This medication has been very effective for me with minimal side effects.,2,2020-06-17,126
Sertraline,Depression,This drug changed my life. My symptoms are almost completely gone.,4,2020-06-18,44
Omeprazole,Pain,Great improvement in my condition since starting this drug.,1,2020-06-18,43
Omeprazole,Fluid Retention,"Side effects were too severe, had to switch medications.",8,2020-06-18,78
Omeprazole,Inflammation,Works well but I have to be careful about timing with meals.,2,2020-06-19,196
Gabapentin,High Cholesterol,"Side effects were too severe, had to switch medications.",5,2020-06-19,88
Losartan,Inflammation,My doctor recommended this and I am glad they did. Feeling much better.,4,2020-06-19,128
Amoxicillin,Blood Pressure,This drug changed my life. My symptoms are almost completely gone.,5,2020-06-20,114
Sertraline,Inflammation,This medication has been very effective for me with minimal side effects.,3,2020-06-20,91
Amoxicillin,GERD,Excellent medication with very few side effects in my experience.,9,2020-06-20,94
Acetaminophen,Chest Pain,The generic version works just as well for me.,3,2020-06-21,107
Hydrochlorothiazide,Depression,This medication has been very effective for me with minimal side effects.,5,2020-06-21,176
Gabapentin,High Cholesterol,"Side effects were too severe, had to switch medications.",9,2020-06-21,111
Acetaminophen,Pain,Works well but I have to be careful about timing with meals.,2,2020-06-22,167
Metformin,Type 2 Diabetes,This drug changed my life. My symptoms are almost completely gone.,6,2020-06-22,58
Hydrochlorothiazide,Bacterial Infection,My doctor recommended this and I am glad they did. Feeling much better.,6,2020-06-22,123
Acetaminophen,GERD,Great improvement in my condition since starting this drug.,2,2020-06-23,100
Acetaminophen,GERD,"Side effects were too severe, had to switch medications.",6,2020-06-23,199
Sertraline,Depression,This medication has been very effective for me with minimal side effects.,1,2020-06-23,148
Ibuprofen,Chest Pain,I have been on this for 3 months now with good results.,9,2020-06-24,19
Omeprazole,Hypothyroidism,The generic version works just as well for me.,1,2020-06-24,78
Gabapentin,Bacterial Infection,Moderate improvement but the cost is quite high.,7,2020-06-24,188
Lisinopril,GERD,"Side effects were too severe, had to switch medications.",8,2020-06-25,129
Prednisone,Fluid Retention,Works well but I have to be careful about timing with meals.,5,2020-06-25,54
Gabapentin,Type 2 Diabetes,The generic version works just as well for me.,7,2020-06-25,21
Hydrochlorothiazide,Inflammation,I have been on this for 3 months now with good results.,6,2020-06-26,106
Omeprazole,Asthma,The generic version works just as well for me.,8,2020-06-26,33
Levothyroxine,Asthma,The generic version works just as well for me.,4,2020-06-26,103
Hydrochlorothiazide,Asthma,Excellent medication with very few side effects in my experience.,2,2020-06-27,94
Levothyroxine,GERD,I had to adjust the dosage a few times but now it works perfectly.,2,2020-06-27,132
Metoprolol,Bacterial Infection,Had an allergic reaction. Would not recommend without consulting doctor first.,10,2020-06-27,146
Metformin,Type 2 Diabetes,Great improvement in my condition since starting this drug.,8,2020-06-28,121
Prednisone,Pain,Great improvement in my condition since starting this drug.,10,2020-06-28,28
Metformin,Inflammation,Had an allergic reaction. Would not recommend without consulting doctor first.,5,2020-06-28,85
Metformin,Pain,I have been on this for 3 months now with good results.,9,2020-07-01,98
Metformin,GERD,"Side effects were too severe, had to switch medications.",6,2020-07-01,105
Ibuprofen,Asthma,The generic version works just as well for me.,1,2020-07-01,86
Prednisone,Type 2 Diabetes,"Side effects were too severe, had to switch medications.",4,2020-07-02,113
Omeprazole,Asthma,The generic version works just as well for me.,10,2020-07-02,130
Amlodipine,Chest Pain,This medication has been very effective for me with minimal side effects.,7,2020-07-02,123
Levothyroxine,Nerve Pain,Moderate improvement but the cost is quite high.,4,2020-07-03,5
Amoxicillin,Blood Pressure,I have been on this for 3 months now with good results.,2,2020-07-03,140
Prednisone,High Cholesterol,Great improvement in my condition since starting this drug.,3,2020-07-03,107
Losartan,Asthma,Works well in combination with my other medications.,8,2020-07-04,147
Levothyroxine,GERD,Excellent medication with very few side effects in my experience.,2,2020-07-04,157
Metformin,Inflammation,Had an allergic reaction. Would not recommend without consulting doctor first.,8,2020-07-04,130
Levothyroxine,Fluid Retention,The generic version works just as well for me.,6,2020-07-05,55
Hydrochlorothiazide,Inflammation,My doctor recommended this and I am glad they did. Feeling much better.,10,2020-07-05,11
Losartan,Nerve Pain,Excellent medication with very few side effects in my experience.,4,2020-07-05,146
Losartan,Chest Pain,Works well but I have to be careful about timing with meals.,3,2020-07-06,178
Hydrochlorothiazide,Pain,This drug changed my life. My symptoms are almost completely gone.,9,2020-07-06,193
Gabapentin,Blood Pressure,This medication has been very effective for me with minimal side effects.,6,2020-07-06,163
Metoprolol,Bacterial Infection,This medication has been very effective for me with minimal side effects.,5,2020-07-07,146
Atorvastatin,High Cholesterol,Works well in combination with my other medications.,2,2020-07-07,177
Gabapentin,Type 2 Diabetes,Works well but I have to be careful about timing with meals.,9,2020-07-07,108
Ibuprofen,Pain,Excellent medication with very few side effects in my experience.,2,2020-07-08,139
Amoxicillin,Blood Pressure,Moderate improvement but the cost is quite high.,8,2020-07-08,7
Losartan,Blood Pressure,"Side effects were too severe, had to switch medications.",3,2020-07-08,15
Ibuprofen,Hypertension,The generic version works just as well for me.,3,2020-07-09,147
Prednisone,Hypothyroidism,I had to adjust the dosage a few times but now it works perfectly.,1,2020-07-09,121
Amlodipine,Inflammation,This drug changed my life. My symptoms are almost completely gone.,10,2020-07-09,45
Ibuprofen,Bacterial Infection,Had an allergic reaction. Would not recommend without consulting doctor first.,10,2020-07-10,20
Levothyroxine,Depression,Works well in combination with my other medications.,9,2020-07-10,40
Gabapentin,Hypertension,Had an allergic reaction. Would not recommend without consulting doctor first.,3,2020-07-10,107
Acetaminophen,Heart Failure,I had to adjust the dosage a few times but now it works perfectly.,4,2020-07-11,197
Ibuprofen,Chest Pain,I have been on this for 3 months now with good results.,2,2020-07-11,117
Acetaminophen,Asthma,I had to adjust the dosage a few times but now it works perfectly.,1,2020-07-11,136
Losartan,Bacterial Infection,Works well in combination with my other medications.,5,2020-07-12,156
Omeprazole,High Cholesterol,The generic version works just as well for me.,10,2020-07-12,74
Atorvastatin,Type 2 Diabetes,"Side effects were too severe, had to switch medications.",10,2020-07-12,137
Levothyroxine,Hypothyroidism,"Side effects were too severe, had to switch medications.",2,2020-07-13,172
Ibuprofen,Chest Pain,My doctor recommended this and I am glad they did. Feeling much better.,5,2020-07-13,175
Levothyroxine,Depression,No noticeable improvement after 6 weeks of use.,1,2020-07-13,28
Omeprazole,Heart Failure,Excellent medication with very few side effects in my experience.,10,2020-07-14,156
Losartan,Nerve Pain,This medication has been very effective for me with minimal side effects.,7,2020-07-14,153
Atorvastatin,Hypertension,This drug changed my life. My symptoms are almost completely gone.,6,2020-07-14,137
Gabapentin,Chest Pain,This medication has been very effective for me with minimal side effects.,6,2020-07-15,66
Sertraline,Fluid Retention,Great improvement in my condition since starting this drug.,5,2020-07-15,59
Hydrochlorothiazide,Asthma,Had an allergic reaction. Would not recommend without consulting doctor first.,5,2020-07-15,168
Ibuprofen,Chest Pain,Excellent medication with very few side effects in my experience.,1,2020-07-16,178
Atorvastatin,Inflammation,Works well in combination with my other medications.,2,2020-07-16,119
Acetaminophen,Fluid Retention,I experienced some dizziness at first but it went away after a week.,7,2020-07-16,120
Hydrochlorothiazide,Bacterial Infection,I had to adjust the dosage a few times but now it works perfectly.,1,2020-07-17,98
Levothyroxine,Blood Pressure,Moderate improvement but the cost is quite high.,5,2020-07-17,169
Amlodipine,Hypothyroidism,I experienced some dizziness at first but it went away after a week.,6,2020-07-17,165
Hydrochlorothiazide,Depression,Works well in combination with my other medications.,1,2020-07-18,26
Losartan,Hypothyroidism,Works well in combination with my other medications.,5,2020-07-18,197
Sertraline,Asthma,No noticeable improvement after 6 weeks of use.,3,2020-07-18,167
Hydrochlorothiazide,Hypertension,My doctor recommended this and I am glad they did. Feeling much better.,1,2020-07-19,51
Gabapentin,Inflammation,This medication has been very effective for me with minimal side effects.,2,2020-07-19,121
Metformin,Asthma,This drug changed my life. My symptoms are almost completely gone.,3,2020-07-19,105
Levothyroxine,GERD,This medication has been very effective for me with minimal side effects.,8,2020-07-20,12
Amlodipine,Type 2 Diabetes,Had an allergic reaction. Would not recommend without consulting doctor first.,9,2020-07-20,8
Hydrochlorothiazide,Hypothyroidism,I had to adjust the dosage a few times but now it works perfectly.,2,2020-07-20,116
Atorvastatin,Blood Pressure,Great improvement in my condition since starting this drug.,9,2020-07-21,42
Sertraline,Blood Pressure,Had an allergic reaction. Would not recommend without consulting doctor first.,3,2020-07-21,166
Amoxicillin,Inflammation,Works well but I have to be careful about timing with meals.,5,2020-07-21,134
Metoprolol,Inflammation,This medication has been very effective for me with minimal side effects.,1,2020-07-22,117
Atorvastatin,Fluid Retention,Had an allergic reaction. Would not recommend without consulting doctor first.,10,2020-07-22,86
Sertraline,High Cholesterol,Moderate improvement but the cost is quite high.,8,2020-07-22,161
Omeprazole,Hypertension,I experienced some dizziness at first but it went away after a week.,7,2020-07-23,138
Metformin,Blood Pressure,I had to adjust the dosage a few times but now it works perfectly.,10,2020-07-23,175
Lisinopril,Pain,This drug changed my life. My symptoms are almost completely gone.,7,2020-07-23,28
Atorvastatin,Inflammation,I have been on this for 3 months now with good results.,7,2020-07-24,100
Atorvastatin,Type 2 Diabetes,Had an allergic reaction. Would not recommend without consulting doctor first.,1,2020-07-24,135
Atorvastatin,Bacterial Infection,This medication has been very effective for me with minimal side effects.,4,2020-07-24,159
Lisinopril,Nerve Pain,This medication has been very effective for me with minimal side effects.,3,2020-07-25,107
Amlodipine,Hypothyroidism,I had to adjust the dosage a few times but now it works perfectly.,5,2020-07-25,71
Omeprazole,Chest Pain,My doctor recommended this and I am glad they did. Feeling much better.,10,2020-07-25,97
Levothyroxine,Hypothyroidism,Great improvement in my condition since starting this drug.,5,2020-07-26,85
Hydrochlorothiazide,Hypothyroidism,Works well in combination with my other medications.,8,2020-07-26,1
Lisinopril,High Cholesterol,This medication has been very effective for me with minimal side effects.,5,2020-07-26,169
Prednisone,Hypothyroidism,Great improvement in my condition since starting this drug.,5,2020-07-27,41
Levothyroxine,Asthma,My doctor recommended this and I am glad they did. Feeling much better.,4,2020-07-27,104
Sertraline,Type 2 Diabetes,This drug changed my life. My symptoms are almost completely gone.,2,2020-07-27,39
Amlodipine,Nerve Pain,My doctor recommended this and I am glad they did. Feeling much better.,4,2020-07-28,2
Atorvastatin,Fluid Retention,I had to adjust the dosage a few times but now it works perfectly.,5,2020-07-28,145
Gabapentin,Blood Pressure,Works well in combination with my other medications.,1,2020-07-28,63
Sertraline,Blood Pressure,Moderate improvement but the cost is quite high.,8,2020-08-01,0
Atorvastatin,Asthma,Excellent medication with very few side effects in my experience.,5,2020-08-01,62
Losartan,Heart Failure,Great improvement in my condition since starting this drug.,5,2020-08-01,10
Metoprolol,Heart Failure,"Side effects were too severe, had to switch medications.",7,2020-08-02,65
Hydrochlorothiazide,Inflammation,I experienced some dizziness at first but it went away after a week.,9,2020-08-02,112
Ibuprofen,Heart Failure,Excellent medication with very few side effects in my experience.,5,2020-08-02,173
Metformin,Chest Pain,Works well in combination with my other medications.,7,2020-08-03,179
Omeprazole,Bacterial Infection,I had to adjust the dosage a few times but now it works perfectly.,9,2020-08-03,139
Atorvastatin,Hypertension,My doctor recommended this and I am glad they did. Feeling much better.,10,2020-08-03,115
Gabapentin,Chest Pain,Had an allergic reaction. Would not recommend without consulting doctor first.,6,2020-08-04,70
Acetaminophen,Blood Pressure,The generic version works just as well for me.,3,2020-08-04,50
Atorvastatin,Chest Pain,The generic version works just as well for me.,1,2020-08-04,97
Losartan,Inflammation,I have been on this for 3 months now with good results.,10,2020-08-05,198
Sertraline,Fluid Retention,The generic version works just as well for me.,5,2020-08-05,149
Lisinopril,High Cholesterol,My doctor recommended this and I am glad they did. Feeling much better.,10,2020-08-05,79
Sertraline,Bacterial Infection,I have been on this for 3 months now with good results.,3,2020-08-06,34
Acetaminophen,Type 2 Diabetes,Works well but I have to be careful about timing with meals.,3,2020-08-06,154
Hydrochlorothiazide,Blood Pressure,Great improvement in my condition since starting this drug.,3,2020-08-06,105
Sertraline,Depression,Great improvement in my condition since starting this drug.,1,2020-08-07,98
Losartan,Blood Pressure,I experienced some dizziness at first but it went away after a week.,8,2020-08-07,145
Sertraline,Blood Pressure,Great improvement in my condition since starting this drug.,4,2020-08-07,88
Losartan,Depression,This drug changed my life. My symptoms are almost completely gone.,10,2020-08-08,168
Amoxicillin,High Cholesterol,This drug changed my life. My symptoms are almost completely gone.,10,2020-08-08,187
Hydrochlorothiazide,Chest Pain,"Side effects were too severe, had to switch medications.",6,2020-08-08,192
Hydrochlorothiazide,Pain,I have been on this for 3 months now with good results.,7,2020-08-09,142
Hydrochlorothiazide,Nerve Pain,No noticeable improvement after 6 weeks of use.,8,2020-08-09,115
Sertraline,High Cholesterol,My doctor recommended this and I am glad they did. Feeling much better.,7,2020-08-09,3
Omeprazole,Hypertension,"Side effects were too severe, had to switch medications.",5,2020-08-10,134
Atorvastatin,Type 2 Diabetes,Had an allergic reaction. Would not recommend without consulting doctor first.,5,2020-08-10,155
Amoxicillin,Chest Pain,I experienced some dizziness at first but it went away after a week.,6,2020-08-10,51
Sertraline,Fluid Retention,No noticeable improvement after 6 weeks of use.,4,2020-08-11,195
Sertraline,Hypertension,Great improvement in my condition since starting this drug.,3,2020-08-11,103
Metformin,Type 2 Diabetes,This medication has been very effective for me with minimal side effects.,2,2020-08-11,74
Omeprazole,Type 2 Diabetes,Moderate improvement but the cost is quite high.,8,2020-08-12,102
Atorvastatin,Bacterial Infection,This drug changed my life. My symptoms are almost completely gone.,2,2020-08-12,78
Acetaminophen,Hypothyroidism,Moderate improvement but the cost is quite high.,4,2020-08-12,8
Amoxicillin,GERD,No noticeable improvement after 6 weeks of use.,10,2020-08-13,18
Amlodipine,GERD,I experienced some dizziness at first but it went away after a week.,1,2020-08-13,52
Hydrochlorothiazide,Inflammation,This drug changed my life. My symptoms are almost completely gone.,8,2020-08-13,82
Atorvastatin,Asthma,Moderate improvement but the cost is quite high.,9,2020-08-14,120
Atorvastatin,Type 2 Diabetes,This drug changed my life. My symptoms are almost completely gone.,10,2020-08-14,138
Losartan,Hypothyroidism,My doctor recommended this and I am glad they did. Feeling much better.,7,2020-08-14,76
Atorvastatin,Pain,Excellent medication with very few side effects in my experience.,3,2020-08-15,75
Prednisone,Type 2 Diabetes,My doctor recommended this and I am glad they did. Feeling much better.,10,2020-08-15,181
Levothyroxine,High Cholesterol,This medication has been very effective for me with minimal side effects.,9,2020-08-15,46
Amlodipine,Heart Failure,Works well in combination with my other medications.,4,2020-08-16,7
Sertraline,Asthma,I have been on this for 3 months now with good results.,7,2020-08-16,109
Sertraline,Inflammation,I experienced some dizziness at first but it went away after a week.,10,2020-08-16,66
